FF090BEF    // 249: -0.06029135361313819885
FF156EB0    // 250: -0.05726748704910278320
FF1CFAAE    // 251: -0.05542499572038650513
FF1D9268    // 252: -0.05528029799461364746
FF1808EB    // 253: -0.05663212016224861145
FF0F8BE0    // 254: -0.05870449542999267578
FF07FA16    // 255: -0.06055251508951187134
FF042677    // 256: -0.06148675456643104553
FF04F6B6    // 257: -0.06128815561532974243
FF09A351    // 258: -0.06014698371291160583
FF109CA1    // 259: -0.05844437703490257263
FF1858B2    // 260: -0.05655603855848312378
