FE3B79B5    // 189: -0.11047963425517082214
FE371651    // 190: -0.11155098304152488708
FE33FCFB    // 191: -0.11230756714940071106
FE30B71D    // 192: -0.11310661956667900085
FE2D36BB    // 193: -0.11396147683262825012
FE2A56C5    // 194: -0.11466334387660026550
FE2878E1    // 195: -0.11511909589171409607
FE26716E    // 196: -0.11561448127031326294
FE21AF37    // 197: -0.11677626147866249084
FE17B30A    // 198: -0.11921402066946029663
FE07E1B2    // 199: -0.12307577580213546753
FDF461F5    // 200: -0.12783626839518547058
FDE15352    // 201: -0.13248889893293380737
FDD2CC96    // 202: -0.13603536039590835571
FDCAD1D6    // 203: -0.13798347860574722290
FDC88B95    // 204: -0.13853875920176506042
FDC91BB8    // 205: -0.13840129971504211426
FDC9709E    // 206: -0.13832033425569534302
FDC7D5D4    // 207: -0.13871209323406219482
FDC45E24    // 208: -0.13955865800380706787
FDC0102A    // 209: -0.14060958474874496460
FDBB9EC4    // 210: -0.14169429242610931396
FDB6AB39    // 211: -0.14290311560034751892
FDB0178D    // 212: -0.14450879022479057312
FDA71265    // 213: -0.14671097323298454285
FD9C1DEB    // 214: -0.14938553050160408020
FD91472E    // 215: -0.15203172713518142700
FD89689F    // 216: -0.15395295992493629456
FD86DEC5    // 217: -0.15457270666956901550
FD8A7659    // 218: -0.15369572862982749939
FD930E8D    // 219: -0.15159745141863822937
FD9E0CEF    // 220: -0.14891344681382179260
FDA86317    // 221: -0.14638987556099891663
FDAF9B7D    // 222: -0.14462710544466972351
FDB2AC24    // 223: -0.14387880265712738037
FDB24A1B    // 224: -0.14397229626774787903
FDB0B8BB    // 225: -0.14435507729649543762
FDB116B1    // 226: -0.14426546916365623474
FDB64876    // 227: -0.14299730211496353149
FDC1D328    // 228: -0.14017948508262634277
FDD31FC0    // 229: -0.13595604896545410156
FDE78971    // 230: -0.13097244128584861755
FDFB5986    // 231: -0.12613532692193984985
FE0B4FD7    // 232: -0.12223831191658973694
FE1604F0    // 233: -0.11962419748306274414
FE1C67F3    // 234: -0.11806492879986763000
FE212453    // 235: -0.11690871790051460266
FE2735B2    // 236: -0.11542730778455734253
FE307DD9    // 237: -0.11316123232245445251
FE3D1159    // 238: -0.11009087786078453064
FE4B974E    // 239: -0.10654515773057937622
FE5A535C    // 240: -0.10294784605503082275
FE6831F8    // 241: -0.09956172108650207520
FE753086    // 242: -0.09638927131891250610
FE81F2CF    // 243: -0.09327429905533790588
FE8EE556    // 244: -0.09011331945657730103
FE9B9D05    // 245: -0.08700845763087272644
FEA6E05E    // 246: -0.08425868302583694458
FEAF57F5    // 247: -0.08219150826334953308
FEB4843A    // 248: -0.08092858642339706421
FEB736C3    // 249: -0.08027004078030586243
FEB95A38    // 250: -0.07974794507026672363
FEBD104E    // 251: -0.07884187251329421997
FEC3B0E9    // 252: -0.07722386345267295837
FECD2DEC    // 253: -0.07490737736225128174
FED834B4    // 254: -0.07221536338329315186
FEE2CFC5    // 255: -0.06962607428431510925
FEEB36A0    // 256: -0.06757485866546630859
FEF0562E    // 257: -0.06632406264543533325
FEF1E76F    // 258: -0.06594139710068702698
FEF0485E    // 259: -0.06633723527193069458
