FDF0B776    // 196: -0.12873128801584243774
FDE55798    // 197: -0.13150826096534729004
FDD4426E    // 198: -0.13567883521318435669
FDC189B0    // 199: -0.14024955034255981445
FDB323FB    // 200: -0.14376451447606086731
FDADAA88    // 201: -0.14510104060173034668
FDB1C362    // 202: -0.14410077780485153198
FDBBAFA0    // 203: -0.14167821407318115234
FDC54C71    // 204: -0.13933139666914939880
FDC9352D    // 205: -0.13837702199816703796
FDC53CD8    // 206: -0.13934627175331115723
FDBAF5F1    // 207: -0.14185529574751853943
FDAE4057    // 208: -0.14495817199349403381
FDA30265    // 209: -0.14770279452204704285
FD9B7E8D    // 210: -0.14953751489520072937
FD9806AF    // 211: -0.15038425102829933167
FD97E1BE    // 212: -0.15041948109865188599
FD9A5C71    // 213: -0.14981418475508689880
FD9F2F03    // 214: -0.14863680675625801086
FDA5FAF8    // 215: -0.14697745442390441895
FDAD866E    // 216: -0.14513546973466873169
FDB38B04    // 217: -0.14366625249385833740
FDB58F29    // 218: -0.14317401871085166931
FDB26459    // 219: -0.14394726976752281189
FDAB4EBB    // 220: -0.14567686989903450012
FDA3F083    // 221: -0.14747570827603340149
FDA0D0DF    // 222: -0.14823830500245094299
FDA53C57    // 223: -0.14715925231575965881
FDB1A8EE    // 224: -0.14412600547075271606
FDC3949F    // 225: -0.13975084200501441956
FDD6DA2E    // 226: -0.13504583388566970825
FDE7AF78    // 227: -0.13093617558479309082
FDF427CC    // 228: -0.12789173424243927002
FDFC8352    // 229: -0.12585132569074630737
FE026328    // 230: -0.12441715598106384277
FE07A6B1    // 231: -0.12313204631209373474
FE0DB64C    // 232: -0.12165232002735137939
FE158A78    // 233: -0.11974099278450012207
FE20182F    // 234: -0.11716443672776222229
FE2E733C    // 235: -0.11365963518619537354
FE4152EF    // 236: -0.10905176773667335510
FE582884    // 237: -0.10347698628902435303
FE70873B    // 238: -0.09752728417515754700
FE86758C    // 239: -0.09217305481433868408
FE95BA8F    // 240: -0.08844513073563575745
FE9B92A6    // 241: -0.08701834827661514282
FE97E2EB    // 242: -0.08791835978627204895
FE8D4A5E    // 243: -0.09050524979829788208
FE801F03    // 244: -0.09372042492032051086
FE74EB5C    // 245: -0.09645523130893707275
FE6F1CD1    // 246: -0.09787290915846824646
FE7056C5    // 247: -0.09757350012660026550
FE785B7C    // 248: -0.09561587870121002197
FE854E16    // 249: -0.09245482832193374634
FE94297B    // 250: -0.08882762864232063293
FEA162D0    // 251: -0.08559912443161010742
FEA9D0BD    // 252: -0.08354116603732109070
FEABB196    // 253: -0.08308259397745132446
FEA74E37    // 254: -0.08415392413735389709
FE9EDC9E    // 255: -0.08621538430452346802
FE95816A    // 256: -0.08849962800741195679
FE8DFA12    // 257: -0.09033768624067306519
FE89BA03    // 258: -0.09137533977627754211
FE88F551    // 259: -0.09156292304396629333
FE8B6D68    // 260: -0.09096011519432067871
