FD440000    // 207: -0.17089843750000000000
FD980000    // 208: -0.15039062500000000000
FDE00000    // 209: -0.13281250000000000000
FE140000    // 210: -0.12011718750000000000
FE240000    // 211: -0.11621093750000000000
FE300000    // 212: -0.11328125000000000000
FE240000    // 213: -0.11621093750000000000
FE280000    // 214: -0.11523437500000000000
FE300000    // 215: -0.11328125000000000000
FE380000    // 216: -0.11132812500000000000
FE400000    // 217: -0.10937500000000000000
FE480000    // 218: -0.10742187500000000000
FE480000    // 219: -0.10742187500000000000
FE480000    // 220: -0.10742187500000000000
FE500000    // 221: -0.10546875000000000000
FE400000    // 222: -0.10937500000000000000
FE440000    // 223: -0.10839843750000000000
FE480000    // 224: -0.10742187500000000000
FE540000    // 225: -0.10449218750000000000
FE580000    // 226: -0.10351562500000000000
FE500000    // 227: -0.10546875000000000000
FE4C0000    // 228: -0.10644531250000000000
FE580000    // 229: -0.10351562500000000000
FE4C0000    // 230: -0.10644531250000000000
FE480000    // 231: -0.10742187500000000000
FE3C0000    // 232: -0.11035156250000000000
FE280000    // 233: -0.11523437500000000000
FE200000    // 234: -0.11718750000000000000
FE100000    // 235: -0.12109375000000000000
FE180000    // 236: -0.11914062500000000000
FE100000    // 237: -0.12109375000000000000
FE140000    // 238: -0.12011718750000000000
FE140000    // 239: -0.12011718750000000000
FE180000    // 240: -0.11914062500000000000
FE0C0000    // 241: -0.12207031250000000000
FDF80000    // 242: -0.12695312500000000000
FDF40000    // 243: -0.12792968750000000000
FDF40000    // 244: -0.12792968750000000000
FDFC0000    // 245: -0.12597656250000000000
FDF40000    // 246: -0.12792968750000000000
FDD80000    // 247: -0.13476562500000000000
FDC80000    // 248: -0.13867187500000000000
FDB40000    // 249: -0.14355468750000000000
FDAC0000    // 250: -0.14550781250000000000
FDBC0000    // 251: -0.14160156250000000000
FDB40000    // 252: -0.14355468750000000000
FDC00000    // 253: -0.14062500000000000000
FDC40000    // 254: -0.13964843750000000000
FDC40000    // 255: -0.13964843750000000000
FDC40000    // 256: -0.13964843750000000000
FDBC0000    // 257: -0.14160156250000000000
FDA80000    // 258: -0.14648437500000000000
FD980000    // 259: -0.15039062500000000000
FD940000    // 260: -0.15136718750000000000
