0786    // 237: 0.47021484375000000000
076D    // 238: 0.46411132812500000000
0797    // 239: 0.47436523437500000000
07A8    // 240: 0.47851562500000000000
07C9    // 241: 0.48657226562500000000
07B8    // 242: 0.48242187500000000000
077E    // 243: 0.46826171875000000000
0765    // 244: 0.46215820312500000000
0754    // 245: 0.45800781250000000000
0732    // 246: 0.44970703125000000000
0743    // 247: 0.45385742187500000000
075C    // 248: 0.45996093750000000000
073B    // 249: 0.45190429687500000000
073B    // 250: 0.45190429687500000000
073B    // 251: 0.45190429687500000000
0732    // 252: 0.44970703125000000000
074B    // 253: 0.45581054687500000000
072A    // 254: 0.44775390625000000000
073B    // 255: 0.45190429687500000000
0743    // 256: 0.45385742187500000000
074B    // 257: 0.45581054687500000000
076D    // 258: 0.46411132812500000000
075C    // 259: 0.45996093750000000000
0775    // 260: 0.46606445312500000000
