054F70AC    // 230: 0.33189456164836883545
058FDCCA    // 231: 0.34762267023324966431
05CB18DF    // 232: 0.36208426579833030701
05F5AD63    // 233: 0.37247980758547782898
060D961C    // 234: 0.37831698358058929443
061CF816    // 235: 0.38207253068685531616
0634AB73    // 236: 0.38785881921648979187
06604007    // 237: 0.39849856123328208923
069B30F2    // 238: 0.41288847476243972778
06CFBD69    // 239: 0.42571774497628211975
06E27198    // 240: 0.43028411269187927246
06C4A29E    // 241: 0.42300664633512496948
0682170F    // 242: 0.40676027163863182068
063F8A3D    // 243: 0.39051269367337226868
0628E30C    // 244: 0.38498215377330780029
0658B028    // 245: 0.39665237069129943848
06C7CE88    // 246: 0.42378094792366027832
074FC79E    // 247: 0.45697747915983200073
07BEDD25    // 248: 0.48409761860966682434
07F1DBBB    // 249: 0.49654744192957878113
07E42FF9    // 250: 0.49320981279015541077
07ADBF21    // 251: 0.47991860285401344299
07718E1B    // 252: 0.46522341296076774597
07497ADD    // 253: 0.45543943718075752258
073B8DDE    // 254: 0.45203959196805953979
073D8E40    // 255: 0.45252823829650878906
074179E4    // 256: 0.45348538458347320557
074099FF    // 257: 0.45327186211943626404
073DBB76    // 258: 0.45257135480642318726
073EFF29    // 259: 0.45288005843758583069
0746160F    // 260: 0.45461088046431541443
