
0.327498  // 0.327498
0.315433  // 0.315433
0.311066  // 0.311066
0.339562  // 0.339562
0.339027  // 0.339027
0.332579  // 0.332579
0.343871  // 0.343871
0.320128  // 0.320128
0.339929  // 0.339929
0.31666  // 0.31666
0.33215  // 0.33215
0.329202  // 0.329202
0.349042  // 0.349042
0.360902  // 0.360902
0.384082  // 0.384082
0.378672  // 0.378672
0.360338  // 0.360338
0.390496  // 0.390496
0.388929  // 0.388929
0.332154  // 0.332154
0.344258  // 0.344258
0.330953  // 0.330953
0.311985  // 0.311985
0.313296  // 0.313296
0.330621  // 0.330621
0.290071  // 0.290071
0.295511  // 0.295511
0.315092  // 0.315092
0.307389  // 0.307389
0.266084  // 0.266084
0.425074  // 0.425074
0.470843  // 0.470843
0.621584  // 0.621584
0.801578  // 0.801578
0.417535  // 0.417535
0.0861317  // 0.0861317
0.0418111  // 0.0418111
0  // 0
0.00677581  // 0.00677581
0.0702336  // 0.0702336
0.231642  // 0.231642
0.267784  // 0.267784
0.261371  // 0.261371
0.320264  // 0.320264
0.294965  // 0.294965
0.270758  // 0.270758
0.321369  // 0.321369
0.283723  // 0.283723
0.258135  // 0.258135
0.266577  // 0.266577
0.222503  // 0.222503
0.237741  // 0.237741
0.250052  // 0.250052
0.214947  // 0.214947
0.219801  // 0.219801
0.248578  // 0.248578
0.221306  // 0.221306
0.217196  // 0.217196
0.247991  // 0.247991
0.285944  // 0.285944
0.303207  // 0.303207
0.27872  // 0.27872
0.341354  // 0.341354
0.314479  // 0.314479

1.15795  // 1.15795
1.15408  // 1.15408
1.20532  // 1.20532
1.22406  // 1.22406
1.20754  // 1.20754
1.23218  // 1.23218
1.19771  // 1.19771
1.22374  // 1.22374
1.19217  // 1.19217
1.20612  // 1.20612
1.22188  // 1.22188
1.27941  // 1.27941
1.33498  // 1.33498
1.37337  // 1.37337
1.37059  // 1.37059
1.32471  // 1.32471
1.40144  // 1.40144
1.38987  // 1.38987
1.26767  // 1.26767
1.2253  // 1.2253
1.20928  // 1.20928
1.14983  // 1.14983
1.1278  // 1.1278
1.16414  // 1.16414
1.09932  // 1.09932
1.09566  // 1.09566
1.13462  // 1.13462
1.12123  // 1.12123
1.06697  // 1.06697
1.43923  // 1.43923
1.66894  // 1.66894
2.05349  // 2.05349
2.36217  // 2.36217
1.59987  // 1.59987
0.479347  // 0.479347
0.160779  // 0.160779
0.0272282  // 0.0272282
0.0869221  // 0.0869221
0.329294  // 0.329294
0.761464  // 0.761464
0.950303  // 0.950303
0.984033  // 0.984033
1.09516  // 1.09516
1.06736  // 1.06736
0.990425  // 0.990425
1.11084  // 1.11084
1.05258  // 1.05258
0.932004  // 0.932004
0.937422  // 0.937422
0.852921  // 0.852921
0.84495  // 0.84495
0.872242  // 0.872242
0.810423  // 0.810423
0.79283  // 0.79283
0.866989  // 0.866989
0.82999  // 0.82999
0.811964  // 0.811964
0.922683  // 0.922683
1.00954  // 1.00954
1.05589  // 1.05589
1.03775  // 1.03775
1.20489  // 1.20489
1.17494  // 1.17494
1.13749  // 1.13749

