FF84F12C  // -0.0300434
FFE17072  // -0.00746112
FFCBA940  // -0.012778
FEBCC5BC  // -0.078913
FBD60E0C  // -0.260241
F6A954FB  // -0.583659
F013B0EC  // -0.995193
EA5E7326  // -1.35194
E77DC665  // -1.53179
E707B062  // -1.56062
E6ED9F90  // -1.56699
E60DE4DB  // -1.62161
E4FD127D  // -1.68821
E49E9545  // -1.71128
E507246C  // -1.68576
E59FA4B5  // -1.64852
E5D036D2  // -1.63667
E5A0FA56  // -1.6482
E5ADDFB8  // -1.64505
E6456590  // -1.60806
E6FE266E  // -1.56295
E76F4BE5  // -1.53533
E7AC30F6  // -1.52046
E7DA442D  // -1.50921
E80ECBDC  // -1.49639
E89406FE  // -1.46386
E988EA9F  // -1.40407
EA72E7F3  // -1.34695
EADB4940  // -1.32146
EAF0FD66  // -1.31616
EB14A455  // -1.30746
EB587963  // -1.2909
EBBE17D6  // -1.26609
EC4DFD13  // -1.23096
ECC62993  // -1.20162
ECC1A075  // -1.20273
EC47A594  // -1.23251
EBCF89F8  // -1.26183
EBA74050  // -1.27167
EB8DA93F  // -1.27791
EB0471E0  // -1.31141
E9FD6BFA  // -1.37563
E8F9F041  // -1.43898
E85B406B  // -1.47772
E7E820CC  // -1.50583
E74079AB  // -1.54676
E66713AE  // -1.59983
E58D7BAD  // -1.65296
E4C01C0A  // -1.7031
E40DFF1F  // -1.74658
E39D9816  // -1.77402
E35EF8CE  // -1.78931
E305302F  // -1.81123
E274C3DF  // -1.84649
E1ED9704  // -1.87949
E1B69963  // -1.89292

FE71E661  // -0.0971924
FE7A6055  // -0.095123
FE7900D9  // -0.0954582
FE6C4912  // -0.0985631
FE6C1AD8  // -0.0986072
FE81DCF9  // -0.0932951
FEA1E1F8  // -0.0854779
FEB879C8  // -0.079962
FEB0719A  // -0.0819229
FE8BEB7F  // -0.0908399
FE721204  // -0.0971508
FE7C91E3  // -0.0945874
FE8E4B45  // -0.0902602
FE83DE89  // -0.0928054
FE65A1C4  // -0.100188
FE4D6391  // -0.106106
FE4A9E63  // -0.106783
FE62A402  // -0.100918
FE7E0BE3  // -0.0942269
FE77129C  // -0.0959295
FE5C3DDB  // -0.10248
FE5EA0F6  // -0.101897
FE6E2F0E  // -0.0980997
FE4CE4DF  // -0.106227
FE076CD1  // -0.123187
FDED717D  // -0.12953
FE1A3759  // -0.1186
FE5E28A6  // -0.102012
FE8410FE  // -0.0927572
FE716D05  // -0.0973081
FE31598A  // -0.112952
FDFF8840  // -0.125114
FE0FC956  // -0.121146
FE47C274  // -0.107481
FE6CC925  // -0.098441
FE7AF553  // -0.0949809
FE8A4B62  // -0.0912367
FE8DA2DC  // -0.0904209
FE781351  // -0.0956847
FE6B8AFB  // -0.0987444
FE7C6362  // -0.0946318
FE88421E  // -0.0917338
FE7FE482  // -0.0937762
FE86D889  // -0.0920787
FEA31053  // -0.0851895
FEAC90AB  // -0.0828698
FE9CCAE1  // -0.0867206
FE8E3F8A  // -0.0902714
FE829962  // -0.0931154
FE809A68  // -0.0936027
FEA92992  // -0.0837006
FEE41039  // -0.0693205
FEDE1841  // -0.0707777
FE9397FF  // -0.0889664
FE65D7CC  // -0.100136
FE7ADCCA  // -0.0950043
FE734CA9  // -0.0968507
FDE7E4C9  // -0.130885
FCFC82E2  // -0.188352
FC5E738B  // -0.226941
FC946AA3  // -0.213765
FD34D5FA  // -0.174601
FD29A9D3  // -0.177328
FC32FFD3  // -0.237549
FBBA9EEB  // -0.266938
FD3F30A0  // -0.172073
0017A848  // 0.00577572
01F52540  // 0.12235
01BED534  // 0.10909
00A505FD  // 0.0402889
0019227B  // 0.0061364
00217140  // 0.00816464
0026E62C  // 0.00949685
001297AD  // 0.00453918
00063C21  // 0.00152219
FFE493D3  // -0.00669496
FF8315B1  // -0.0304969
FEDC46EE  // -0.0712214
FE1CB8F1  // -0.117988
FDB1F7F6  // -0.144051
FDEA22D2  // -0.130338
FE701126  // -0.0976399
FEA5DCEB  // -0.0845061
FE748C9B  // -0.0965456
FE441EF5  // -0.108369
FE51E8A7  // -0.105003
FE80BA07  // -0.0935726
FEA0A7E0  // -0.0857774
FE99E343  // -0.0874298
FE7C1E25  // -0.0946978
FE77AEFA  // -0.0957804
FE9B87FB  // -0.0870285
FEB947EB  // -0.0797654
FEB4AA6E  // -0.0808922
FEAA77A1  // -0.083382
FEAB876F  // -0.0831228
FEAB06D2  // -0.0832454
FEB5F675  // -0.0805755
FEDBA0F4  // -0.0713797
FEF75BA9  // -0.0646099
FEE984A9  // -0.0679887
FED28A27  // -0.0735987
FED3DEED  // -0.0732737
FEDE8A7E  // -0.0706687
FEE68C56  // -0.0687138
FEF717D1  // -0.0646746
FF053023  // -0.0612334
FEF68F4A  // -0.0648048
FED4535A  // -0.0731627
FEC2BB76  // -0.0774579
FECE02DA  // -0.0747043
FEDB4DE9  // -0.0714589
FEC9F391  // -0.0756955
FE9EB46A  // -0.0862537
FE82D498  // -0.093059
FE8A7847  // -0.0911939
FE961DCB  // -0.0883505
FE875DD5  // -0.0919515
FE6D8EB7  // -0.0982526
FE5F825A  // -0.101682
FE56A128  // -0.10385
FE4CA649  // -0.106287
FE4E2958  // -0.105918
FE590578  // -0.103266
FE55EEE8  // -0.10402
FE416221  // -0.109037
FE334FFD  // -0.112473
FE39E4BA  // -0.110866
FE4C2B1D  // -0.106404

276C04FD  // 2.46387
27DAF64A  // 2.49096
28120385  // 2.5044
2856F23B  // 2.52123
28BF69F0  // 2.54673
28E61212  // 2.55617
2865D270  // 2.52486
274A3A0C  // 2.45562
261F1D80  // 2.3826
25A454E5  // 2.35262
2615D8F0  // 2.38033
26CCBACF  // 2.42498
2710AD10  // 2.44157
270C535A  // 2.44051
276C2DD0  // 2.46391
2868AA7C  // 2.52555
299AF1FC  // 2.60033
2A612650  // 2.64872
2A5BEE4D  // 2.64744
29EF1ADE  // 2.62088
29E65464  // 2.61873
2A4A9096  // 2.6432
2A796332  // 2.65464
2AA4143A  // 2.66506
2BD63BB2  // 2.7398
2E1AF702  // 2.88158
2FF6FC5E  // 2.9978
301EC4DB  // 3.00751
2EC41F83  // 2.92288
2D34C0C3  // 2.82538
2CD09F4E  // 2.80093
2DFABC17  // 2.87371
2F9B619B  // 2.97543
302F32CA  // 3.01152
2F634877  // 2.96174
2DFCADA3  // 2.87419
2C884C31  // 2.78328
2B28D38F  // 2.69747
2A39E955  // 2.63914
29F4DEEF  // 2.62228
29D9D33E  // 2.61568
296DD9FE  // 2.58932
28F49808  // 2.55972
28A63830  // 2.54058
2818F1C2  // 2.50609
2725C03D  // 2.44672
265C1CA3  // 2.39749
26209EB2  // 2.38296
2650A538  // 2.39469
26AB8526  // 2.41688
26A2DF18  // 2.41476
257D6795  // 2.34312
23B07E59  // 2.23059
22F331F0  // 2.18437
23F6B0DA  // 2.24773
2567EFBF  // 2.33788
264CC031  // 2.39374
2838C0FF  // 2.51386
2DDAA9C2  // 2.86588
375A4D39  // 3.45955
40E8425B  // 4.0567
46260515  // 4.38428
47921E7F  // 4.47317
4A9E7E2D  // 4.66369
51D09528  // 5.11342
5643D84E  // 5.39156
4D930954  // 4.8484
36E5AD34  // 3.43107
1D932E1F  // 1.84843
0D095EA6  // 0.814788
06660C0E  // 0.399914
04023CD7  // 0.250546
022D5519  // 0.136067
00CFA23B  // 0.0506918
0035579B  // 0.013023
00474B6C  // 0.0174059
01B1CADD  // 0.105906
05C1B74F  // 0.359794
0D3643D7  // 0.825748
16FCFF2B  // 1.43677
1FD94029  // 1.99054
