020325B2  // 0.125768
020CE503  // 0.128148
021ED5B4  // 0.132528
0239F36B  // 0.139148
025659EA  // 0.146082
026EBBAA  // 0.152034
02803045  // 0.156296
0287798B  // 0.158075
02890091  // 0.158448
0293B4E7  // 0.161061
02B011BC  // 0.167986
02D08DDB  // 0.175917
02DE2083  // 0.17923
02D2E0D7  // 0.176484
02BE341C  // 0.171436
02AF0047  // 0.167725
02A4EB71  // 0.165264
02980959  // 0.162118
0282142F  // 0.156758
025E1A7F  // 0.147974
022D9488  // 0.136128
01FF7735  // 0.12487
01E2DA50  // 0.117884
01D24FC4  // 0.113846
01BB6554  // 0.108251
0198EFA9  // 0.0998379
01787A5A  // 0.0919136
0167C76F  // 0.0878367
01661FA7  // 0.0874325
0166A053  // 0.0875552
015DCB22  // 0.0853988
014D5382  // 0.0813785
01419D28  // 0.078519
014462EB  // 0.0791959
01538EED  // 0.0829
01624A74  // 0.0864968

FEACCA69  // -0.0828148
FEC50EF8  // -0.07689
FEC59BBA  // -0.0767558
FEC8A544  // -0.0760143
FEDC3EED  // -0.0712291
FEF7AF91  // -0.0645298
FF120B16  // -0.0580949
FF239584  // -0.0538125
FF229D23  // -0.0540494
FF186786  // -0.0565419
FF1CCB4E  // -0.0554702
FF2F97F7  // -0.0508805
FF3CAC25  // -0.0476874
FF43370E  // -0.0460901
FF4D7350  // -0.0435912
FF543717  // -0.0419396
FF527858  // -0.0423657
FF57100F  // -0.0412445
FF67B4FD  // -0.0371809
FF723620  // -0.0346164
FF64A819  // -0.0379256
FF3FFBA1  // -0.0468792
FF1D80D8  // -0.055297
FF217D44  // -0.0543239
FF484316  // -0.0448579
FF5695C2  // -0.0413611
FF2AB136  // -0.0520771
FEF5E468  // -0.0649677
FEF34018  // -0.0656127
FF14C5F9  // -0.0574284
FF273D19  // -0.0529202
FF19AEBE  // -0.0562298
FEFF063F  // -0.0627382
FEEE74AF  // -0.0667833
FEF44002  // -0.0653686
FF082AF0  // -0.0605059
FF122D4A  // -0.0580623
FF08513B  // -0.0604694
FEFA5384  // -0.0638852
FEF73F8C  // -0.0646367
FEFDE61D  // -0.063013
FF0ABAD9  // -0.0598804
FF1A86F8  // -0.0560236
FF1FF8CC  // -0.0546944
FF124201  // -0.0580425
FF017BDA  // -0.0621377
FF029B09  // -0.0618639
FF1148C1  // -0.0582802
FF1CA9CA  // -0.0555021
