000D9994  // 0.00332029
002293AF  // 0.00844162
00651862  // 0.0246815
005CAA0F  // 0.0226231
FFD4FF5F  // -0.0104986
FF39FFD7  // -0.04834
FF1B3E4B  // -0.0558488
FF8107D4  // -0.0309984
FFF5A78B  // -0.00252577
002251CD  // 0.00837879
0020637B  // 0.00790737
002A5FB4  // 0.0103452
0043E613  // 0.0165768
0053C930  // 0.0204555
005E8F26  // 0.0230857
00764087  // 0.0288701
008D58C4  // 0.0345085
0083C97C  // 0.0321746
0057D495  // 0.021443
002D210D  // 0.0110178
001FE799  // 0.00778923
002587BF  // 0.00916266
00258C4B  // 0.009167
001E82B1  // 0.00744886
001CEB5D  // 0.0070604
002017FC  // 0.00783537
0020492F  // 0.00788229
001E2F9A  // 0.00736962
001ADD17  // 0.0065585
0014F849  // 0.0051196
0013D0AF  // 0.00483769
001C9105  // 0.00697424
0022F6BE  // 0.00853609
001E7830  // 0.00743884
001B5248  // 0.00667027
001F96E0  // 0.00771224
001E48AC  // 0.00739352
00171D28  // 0.00564304
001BEFFE  // 0.00682067
002B2312  // 0.0105315
002E7C31  // 0.0113489
00238F14  // 0.00868137
001DA3DE  // 0.00723635
0022EB4F  // 0.00852519
0029B15D  // 0.0101789
002DC992  // 0.0111786
002EDF3F  // 0.0114434
002983C4  // 0.0101354
0022F246  // 0.00853183
00273783  // 0.00957442
00330848  // 0.0124591
00367923  // 0.0132991
002F1D17  // 0.0115024
0028771B  // 0.00987921
0027B145  // 0.00969054
002A94D0  // 0.0103958
002F8DF7  // 0.01161
00309A78  // 0.0118661
0025FFE7  // 0.00927725
0015B08B  // 0.00529532
000F13FE  // 0.00368118
00165DDF  // 0.00546062
00219DB9  // 0.00820706
0025961E  // 0.00917637
001E9B92  // 0.00747258
0013EB64  // 0.00486316
0010B754  // 0.00408109
0015A94B  // 0.0052884

FF44B176  // -0.0457292
FF282F0F  // -0.0526895
FF15F91F  // -0.0571355
FF2608B4  // -0.0532144
FF363318  // -0.0492677
FF26B5A1  // -0.0530494
FF0BC0F3  // -0.0596304
FF02D611  // -0.0618076
FF09FD79  // -0.060061
FF14D007  // -0.0574188
FF1ECA68  // -0.0549828
FF220CC9  // -0.054187
FF1B7B15  // -0.0557908
FF1574FD  // -0.0572615
FF1B86C3  // -0.0557797
FF2A8896  // -0.0521158
FF35DD21  // -0.0493497
FF369DCE  // -0.0491659
FF32C1CC  // -0.0501081
FF36027A  // -0.049314
FF44BD09  // -0.0457182
FF5A651E  // -0.0404309
FF706F4A  // -0.0350501
FF7DF6C1  // -0.0317471
FF7B69EC  // -0.0323697
FF70A946  // -0.0349948
FF6E75E9  // -0.0355321
FF7457EF  // -0.0340958
FF74EE9D  // -0.0339521
FF725D96  // -0.0345787
FF78EEBB  // -0.0329755
FF842702  // -0.0302362
FF8408A3  // -0.0302652
FF71EC70  // -0.0346866
FF507B10  // -0.0428514
FF290B9A  // -0.0524792
FF0D3DA5  // -0.0592674
FF05E01E  // -0.0610656
FF06073E  // -0.0610282
FF004287  // -0.0624366
FEF7F06C  // -0.064468
FEF20B6C  // -0.0659071
FEEC3E28  // -0.0673235
FEE8EB5F  // -0.0681349
FEED2658  // -0.0671021
FEF3ED21  // -0.0654477
FEF4EC19  // -0.0652045
FEEF741E  // -0.0665397
FEE48FD5  // -0.0691988
FED57E0C  // -0.0728778
FECC21A3  // -0.0751632
FED1A195  // -0.0738205
FEDCD032  // -0.0710905
FEDC92AE  // -0.0711492
FECD3D16  // -0.0748929
FEB4E6AF  // -0.0808347
FE9F250E  // -0.0861463
FEAC0DF0  // -0.0829945
FEFC4614  // -0.0634097
FF739E74  // -0.0342727
FFC4A077  // -0.0144954
FFE3C52C  // -0.00689204
003147BA  // 0.0120313
00E98B0A  // 0.0570174
0199081F  // 0.0998613
0179D824  // 0.0922471
005A6603  // 0.0220699
FEDECF84  // -0.0706029
FDCC21F3  // -0.137663
FD4EA04A  // -0.168304
FD122EB5  // -0.183061
FCD61050  // -0.197738
FCA460AD  // -0.209869
FC934DEB  // -0.214037
FC9DB6E5  // -0.211496
FCC3DC07  // -0.202183
FD1A9FCF  // -0.181
FDA1A1D3  // -0.148039
FE2968A5  // -0.11489
