FFEEE3D1  // -0.00417727
0002D845  // 0.000694532
FFEC5DD9  // -0.00479331
FFD990F2  // -0.00938325
004F188F  // 0.0193105
0184C5E0  // 0.0949153
03130896  // 0.192147
0440E567  // 0.265844
04B8F8A5  // 0.295159
04C64CB2  // 0.298413
04CE056E  // 0.300298
04E1FF07  // 0.305175
04ED2C7B  // 0.307904
04F1990B  // 0.308984
04F88D00  // 0.310681
04F9F76E  // 0.311027
04EC5F8B  // 0.307708
04D66FF8  // 0.302353
04C47D75  // 0.297971
04B99C4B  // 0.295315
04B496D2  // 0.294089
04B46B99  // 0.294048
04AB81C5  // 0.291872
048670E6  // 0.282823
0452D9E9  // 0.270227
043DEF30  // 0.265121
04503ABE  // 0.269587
04536763  // 0.270362
04212687  // 0.258093
03DF21A1  // 0.241975
03C2FABB  // 0.235102
03CC6118  // 0.237397
03E01F19  // 0.242217
03EFDF21  // 0.246062
03ECA479  // 0.245274
03CE38C0  // 0.237847
03B211EF  // 0.230974
03BDFBA7  // 0.233883
03EDDEC0  // 0.245574
04208C61  // 0.257946
043C5D34  // 0.264737
04407228  // 0.265734
044DAC10  // 0.268963
04848974  // 0.282358
04CAFED7  // 0.299559
04EE19AA  // 0.30813
04F7902B  // 0.31044
05123563  // 0.316945
05352E7A  // 0.325484
0541CF68  // 0.328567
054A09FE  // 0.330576
0567566C  // 0.337729
057E744A  // 0.343373
0571669D  // 0.340186
055A6C7F  // 0.334576

13853F99  // 1.22003
13962B2B  // 1.22416
13B89DFE  // 1.23257
13DB9531  // 1.24111
13D13DE8  // 1.23858
138D74BD  // 1.22204
1350D39E  // 1.20723
136A02C7  // 1.21338
13C6444C  // 1.2359
13FD7948  // 1.24938
13DF1F63  // 1.24197
13A55585  // 1.22786
138D3158  // 1.22197
1399BFFB  // 1.22504
13BE6890  // 1.23399
13E7C4F7  // 1.24408
13F05FA2  // 1.24618
13D9478F  // 1.24055
13DF3919  // 1.242
1427C562  // 1.25971
14950B12  // 1.28639
14F61F7B  // 1.31009
152D8237  // 1.32361
15439D08  // 1.32901
1578648C  // 1.34189
1605DBFF  // 1.37643
16B8FCA0  // 1.42016
17090BA6  // 1.43971
16AA1A79  // 1.41653
15EB5FDF  // 1.36996
158080F8  // 1.34387
15DD728A  // 1.36656
16ADAB6A  // 1.4174
170E7847  // 1.44103
1677AF91  // 1.40422
154BDC22  // 1.33102
145E6715  // 1.27305
140B49FE  // 1.25276
13FAD3A9  // 1.24874
13BC5306  // 1.23348
134BF000  // 1.20604
12E58D97  // 1.18104
12AC151B  // 1.16701
12AF5E6B  // 1.16781
12F2549B  // 1.18416
133C03CE  // 1.20215
13395A2B  // 1.2015
12E8B202  // 1.18181
1294AD0B  // 1.1613
126EBF12  // 1.15204
127B7F86  // 1.15515
12B586D6  // 1.16932
12F55CC3  // 1.1849
12F3000D  // 1.18433
12A1BACC  // 1.16448
12552AF0  // 1.14579
1283D5DE  // 1.15719
13BD6BA1  // 1.23375
16921D54  // 1.41067
1A98ED96  // 1.66234
1DD59A10  // 1.86465
1EC45037  // 1.92293
1F188832  // 1.94349
21E2C0EB  // 2.11786
26050C9F  // 2.37623
25B4AEC7  // 2.35661
1DAF594A  // 1.85531
11FBC952  // 1.12397
08F51179  // 0.559831
046B184E  // 0.276146
023A44AE  // 0.139226
00D670E9  // 0.0523538
0042A5C4  // 0.0162714
005825C7  // 0.0215204
009CEB09  // 0.0383101
013EA4C3  // 0.0777938
03020CF1  // 0.188001
064FA92E  // 0.394448
0A85AF8F  // 0.657638
0E3ED079  // 0.890336
107A7B9A  // 1.0299
11624E20  // 1.0865
11BA601E  // 1.108
11F4771B  // 1.12218
121A62E6  // 1.13144
122DADC5  // 1.13615
12391C9C  // 1.13894
123494E2  // 1.13784
1211A4D6  // 1.12931
11D7746B  // 1.1151
119CE662  // 1.10081
116F0320  // 1.0896
114C0BDA  // 1.08107
112CA8CB  // 1.0734
10FCBCC1  // 1.0617
10A051D9  // 1.03914
1023BE8E  // 1.00873
0FC8A833  // 0.986489
0FAF0679  // 0.980231
0F939DE4  // 0.973539
0F29225F  // 0.947543
0E9093E9  // 0.910297
0E2B7F13  // 0.885619
0E1ADCF1  // 0.881558
0E36B695  // 0.888358
0E553EA9  // 0.895812
0E575704  // 0.896323
0E2D7CA9  // 0.886105
0E020FF1  // 0.875503
0E1D4E76  // 0.882155
0E8C565E  // 0.909262
0F1A1BAF  // 0.943874
0F9023D2  // 0.97269
0FE00E95  // 0.992201
10326207  // 1.0123
10C14BAD  // 1.04719
117C5DF6  // 1.09286
120FC6B8  // 1.12885
12663994  // 1.14996
12BAB5D6  // 1.17058
131C8EB8  // 1.19447
1362239B  // 1.21146
1390C00E  // 1.22284
13CFA68A  // 1.2382
140885EA  // 1.25208
1408DCE4  // 1.25216
13E643DD  // 1.24372
13E04D99  // 1.24226
13FDD0F7  // 1.24947

