01E729B1  // 0.118936
01E11676  // 0.117453
01D7E7E0  // 0.115211
01DD7065  // 0.116562
0201CA01  // 0.125437
022CF3C8  // 0.135975
023230B4  // 0.137253
02109DA0  // 0.129057
01F1FD68  // 0.12158
01E054F2  // 0.117269
01A3A8A0  // 0.102456
00FEF4B5  // 0.0622451
0008BA50  // 0.00213081
FF331D34  // -0.050021
FED9A0B9  // -0.0718682
FEC385E9  // -0.0772649
FE5B8C90  // -0.102649
FD97B451  // -0.150463
FD5F3B7A  // -0.16425
FE9A08BB  // -0.087394
00FB9031  // 0.0614168
033C8596  // 0.202276
047E4132  // 0.280824
04F1708A  // 0.308945
05256FD7  // 0.32164
05516276  // 0.332369
056C8EF0  // 0.339004
05777D87  // 0.341672
057202AF  // 0.340335
05449D52  // 0.329252
04CFB2E4  // 0.300708
0407BFA6  // 0.251892
03152247  // 0.19266
0251F8D5  // 0.145013
01FCFB8D  // 0.124263
01F5F958  // 0.122552
01EEAB8E  // 0.120769
01C9F7A2  // 0.111808
01A52406  // 0.102818
019D433F  // 0.100894
01AF96C9  // 0.105368
01C46DE5  // 0.110456
01C7DE3D  // 0.111296
01BFE52A  // 0.109349
01C4D9A2  // 0.110559
01DD513E  // 0.116533
01F6785C  // 0.122673
020457F6  // 0.12606
020C8833  // 0.12806
0212D495  // 0.129597
021A7EE2  // 0.131469
02300DA7  // 0.136732
0254FBC8  // 0.145748
02740664  // 0.153326
027F4185  // 0.156068
0281B856  // 0.15667
0287C9A7  // 0.158151
0291CB11  // 0.160594
02A10421  // 0.164311
02B65DA5  // 0.169523
02C5D996  // 0.173303
02C1A043  // 0.172272
02AE813E  // 0.167604
029EF40C  // 0.163807
029B5522  // 0.162923
0296ECF9  // 0.161847
027FF919  // 0.156243
0258962B  // 0.146628
0235A5B6  // 0.138097
0221E507  // 0.133275
02116DAC  // 0.129255
01F7E190  // 0.123018
01D8A54D  // 0.115392
01BA5B94  // 0.107997
019D7B4D  // 0.100948
01852AD9  // 0.0950116
0177273A  // 0.0915901
016EEB84  // 0.0895801
0160CAA2  // 0.0861307
014B51BB  // 0.0808885
01394CB7  // 0.0764892
0133BEAE  // 0.075133

FEE26FE3  // -0.0697175
FEEF3C89  // -0.0665927
FEF4940D  // -0.0652885
FEF2EA04  // -0.0656948
FEF8EEA2  // -0.0642255
FF06EE19  // -0.0608081
FF0FA588  // -0.05868
FF08A8BF  // -0.0603859
FEF002E4  // -0.0664035
FED282D4  // -0.0736057
FEC925A2  // -0.0758918
FEDA1E43  // -0.0717485
FEEB0B27  // -0.0676163
FEE7ECF2  // -0.0683775
FEDE68C2  // -0.0707009
FEE251FE  // -0.069746
FEF62AAB  // -0.0649007
FF119AE0  // -0.0582019
FF22C1DB  // -0.0540143
FF1A63DF  // -0.0560571
FF09F122  // -0.0600728
FF0F1199  // -0.0588211
FF1CCA50  // -0.0554711
FF12BE7A  // -0.0579238
FF028CCB  // -0.0618774
FF198925  // -0.0562657
FF534F85  // -0.0421605
FF7F2C5F  // -0.0314518
FF7F4030  // -0.0314329
FF5AD955  // -0.0403201
FF2FD40A  // -0.0508232
FF2543B9  // -0.0534022
FF485136  // -0.0448444
FF73B5FF  // -0.0342503
FF7D62A0  // -0.0318884
FF6B2767  // -0.0363394
FF568737  // -0.041375
FF3F17A6  // -0.0470966
FF2185B7  // -0.0543158
FF12023E  // -0.0581033
FF174F4D  // -0.0568091
FF180165  // -0.0566393
FF0AF256  // -0.0598275
FF0602B3  // -0.0610326
FF0A9996  // -0.0599121
FF006F26  // -0.062394
FEE8EBEA  // -0.0681344
FEDA9FF1  // -0.0716248
FED76A78  // -0.0724082
FEDB765B  // -0.0714203
FEEDF474  // -0.0669055
FEFAD792  // -0.0637593
FEDC2F75  // -0.0712438
FEA550D0  // -0.0846397
FE979DBD  // -0.0879843
FEBB8C5E  // -0.0792118
FED09D2D  // -0.0740689
FEB2F7E8  // -0.0813065
FE9C98E5  // -0.0867683
FEEE0362  // -0.0668913
FFB7A876  // -0.0176616
007F3130  // 0.0310528
00AFFAAF  // 0.0429637
006C29FC  // 0.0264072
00966EB5  // 0.0367267
019EE627  // 0.101294
0293E327  // 0.161105
021878DA  // 0.130975
002F0671  // 0.0114808
FE3EED09  // -0.109637
FD4E6D83  // -0.168353
FD18EF26  // -0.181413
FCFB6F89  // -0.188614
FCD4DF6E  // -0.198029
FCC01EF9  // -0.203095
FCB14C5E  // -0.206714
FC9AA90C  // -0.212241
FC8EC8F0  // -0.21514
FCB1A126  // -0.206633
FD295724  // -0.177407
FDEC8EE4  // -0.129747
FE9C1ED8  // -0.0868846
FEDC9EE8  // -0.0711375
FEC8CF22  // -0.0759743
FEBF5992  // -0.0782837
FEE1ED75  // -0.0698419
FF0A95C5  // -0.0599158
FF1649F1  // -0.0570584
FF042C94  // -0.0614809
FEEBCC26  // -0.0674323
FEE9A0C3  // -0.0679619
FEFBBFC8  // -0.0635378
FF000525  // -0.0624951
FEEA5C4E  // -0.0677831
FED4E13F  // -0.0730274
FECD11F6  // -0.074934
FEC7B24D  // -0.076246
FEC5F1C7  // -0.0766737
FECBA73F  // -0.07528
FEC38A0B  // -0.0772609
FEA2E3A9  // -0.0852321
FE85EC08  // -0.0923042
FE80E8E0  // -0.0935279
FE83A1B3  // -0.0928634
FE80C387  // -0.0935635
FE7DE624  // -0.0942629
FE771A90  // -0.0959219
FE62E952  // -0.100852
FE4DEEA7  // -0.105974
FE4DD3F2  // -0.105999
FE60D68B  // -0.101358
FE6FDEB2  // -0.097688
FE6C0F03  // -0.0986185
FE6225D7  // -0.101038
FE6C26CC  // -0.0985958
FE8CDDA3  // -0.0906089
FEA94FEF  // -0.083664
FEB123E3  // -0.0817529
FEB48D4A  // -0.0809199
FEC3FEDA  // -0.0771495
FED8B2E8  // -0.072095
FEEB0E65  // -0.0676132
FEFFD4EB  // -0.0625411
FF144D51  // -0.0575435
FF1C77E4  // -0.0555497
FF1B55F6  // -0.0558262
FF21C739  // -0.0542534
FF34180E  // -0.0497817
FF46175C  // -0.0453879

FC216F9E  // -0.241837
FC2B25BF  // -0.239466
FC3A0DC8  // -0.235827
FC525E7C  // -0.22989
FC5FAC99  // -0.226642
FC4DAEBE  // -0.231035
FC193718  // -0.243844
FBD7B242  // -0.25984
FBB3F34B  // -0.268567
FBC48D6D  // -0.264514
FBE94CDC  // -0.255542
FBF77737  // -0.252084
FBF5AB6C  // -0.252522
FC061C14  // -0.248508
FC3495D2  // -0.237162
FC734CF3  // -0.22185
FCA4B9CF  // -0.209784
FCAB2E15  // -0.208208
FC943820  // -0.213814
FC917ABD  // -0.214483
FCA85D73  // -0.208895
FCAE52EF  // -0.20744
FCAB23CA  // -0.208218
FCDFF85D  // -0.19532
FD569258  // -0.166364
FDC25B21  // -0.14005
FDDD4C9D  // -0.133472
FDA5E16A  // -0.147002
FD518C50  // -0.167591
FD2BC6D8  // -0.176812
FD5C4FDA  // -0.164963
FDB39DD8  // -0.143648
FDDC3AD3  // -0.133733
FDBF01A7  // -0.140868
FD8130D3  // -0.155959
FD38B35E  // -0.173657
