134C45FA  // 1.20612
137C66BE  // 1.21787
138CD0D7  // 1.22188
13E10344  // 1.24243
14787975  // 1.27941
1508F9EF  // 1.31469
155C1171  // 1.33498
159E55E7  // 1.35116
15F9567C  // 1.37337
15EDF3C9  // 1.37059
152B9D77  // 1.32315
14A3B758  // 1.28997
15320322  // 1.32471
161BC421  // 1.38178
166C4C65  // 1.40144
163CE3A0  // 1.38987
1597363E  // 1.34942
14486364  // 1.26767
132BF859  // 1.19823
13322BE8  // 1.19975
139AD243  // 1.2253
1359364E  // 1.20928
12CA76AF  // 1.17443
1265B8AB  // 1.14983
11E1EB98  // 1.11766
118EFA42  // 1.09741
120B74D1  // 1.1278
12A05155  // 1.16414
124D03E7  // 1.1438
1196CBA3  // 1.09932
115AB205  // 1.08464
1168F645  // 1.08813
1187CE98  // 1.09566
11E3E3A4  // 1.11814
122769AB  // 1.13462
11F08F73  // 1.12123
1186CD17  // 1.09541
11124F5B  // 1.06697
10F8FC24  // 1.06079
12DB395D  // 1.17852
170716E6  // 1.43923
1A4E0A52  // 1.64405
1AB3F5A4  // 1.66894
1BC64CF1  // 1.73591
20DB13FF  // 2.05349
25CB6E31  // 2.36217
2379FCCA  // 2.21728
19990E57  // 1.59987
0EA64BFB  // 0.9156
07AB67C5  // 0.479347
04646B0F  // 0.274516
02928D2B  // 0.160779
013E410B  // 0.0776987
006F86D5  // 0.0272282
002B7497  // 0.0106092
007875DF  // 0.0294093
0164086A  // 0.0869221
02EB0F00  // 0.182387
0544C97E  // 0.329294
089F173A  // 0.538841
0C2EF493  // 0.761464
0E84F966  // 0.907464
0F3470B7  // 0.950303
0F3F772F  // 0.952995
0FBE9956  // 0.984033
10C87538  // 1.04894
1185CB68  // 1.09516
1113E63B  // 1.06736
0FB9761B  // 0.982779
0EFD736A  // 0.936878
0FD8C773  // 0.990425
11547516  // 1.08312
11C5FDAD  // 1.11084
10D76251  // 1.05258
0F912B6D  // 0.972942
0EE80129  // 0.931642
0EE97D36  // 0.932004
0EFFAE36  // 0.937422
0E9451A4  // 0.911211
0DA59026  // 0.852921
0CE0DCBF  // 0.804898
0CE797AC  // 0.806541
0D84EAC6  // 0.84495
0DF4B3A7  // 0.872242
0DBEB46A  // 0.859059
0CF77E70  // 0.810423
0C1B783B  // 0.756706
0BE927CE  // 0.744423
0CAF6EC1  // 0.79283
0DABD6D8  // 0.854453
0DDF2F71  // 0.866989
0D47A33F  // 0.82999
0C9B0E94  // 0.787856
0C6CD17E  // 0.776567
0CFDCE43  // 0.811964
0E02860D  // 0.875616
0EC34F79  // 0.922683
0F43EDF6  // 0.954084
102717E7  // 1.00954
10E4EAFB  // 1.05589
106A1014  // 1.02589
0FB099F7  // 0.980616
109AA46F  // 1.03775
12821152  // 1.15675
13473592  // 1.20489
12CC8C75  // 1.17494
1259E797  // 1.14695
12332B91  // 1.13749
12153504  // 1.13018
122393D7  // 1.13369

