2A6590BF  // 2.6498
2948DC44  // 2.58029
27B91B66  // 2.48269
2739B865  // 2.45159
27E3E85B  // 2.49314
2879BFD4  // 2.52972
282CD090  // 2.51094
2759FE1F  // 2.45947
26C804A2  // 2.42383
26DBDD6A  // 2.42868
275D8BB6  // 2.46034
27B583C2  // 2.48182
278CDD5B  // 2.47189
272C9962  // 2.44839
2710D8A7  // 2.44161
2759E7D3  // 2.45945
27D94AE4  // 2.49055
2850DDB4  // 2.51974
2877A281  // 2.52921
282A38CD  // 2.51031
27BD4B1D  // 2.48371
27B6E91E  // 2.48216
282469B4  // 2.50889
289A0E7B  // 2.53761
28CA80DE  // 2.54944
28B9DBA8  // 2.54538
288FD5BB  // 2.53512
289B53B7  // 2.53792
292403FF  // 2.57129
29DA8A4F  // 2.61585
2A0112BD  // 2.62526
2968680C  // 2.58799
289F5B01  // 2.53891
2868ED93  // 2.52562
2A326827  // 2.63731
2FFA86D4  // 2.99866
392444E2  // 3.57135
40D57A96  // 4.05212
43D83DE8  // 4.24029
4688B0BB  // 4.40837
4E469A98  // 4.89224
55AEE006  // 5.35519
4FFC5D20  // 4.99911
39DCE4E8  // 3.61643
1F04AB93  // 1.93864
0C928589  // 0.785772
04C14B7F  // 0.297191
023E4D6C  // 0.140211
00FCBADC  // 0.0617016
0040F1CC  // 0.0158556
004A6106  // 0.0181589
01A1B8F5  // 0.101983
05727D4D  // 0.340452
0C886121  // 0.783296
15BA6D4E  // 1.35801
1E079D02  // 1.87686
22F66AD5  // 2.18516
24C21610  // 2.29738
258093D2  // 2.34389
2673571B  // 2.40316
273B6F95  // 2.45201
2758AEAB  // 2.45915
2716D6E2  // 2.44308
26EEEAE6  // 2.43333
26EED589  // 2.43331
26DC9CFC  // 2.42886
267A515B  // 2.40486
25BA032E  // 2.35791
24E46FBC  // 2.30577
24552BD2  // 2.27079
23FECEE0  // 2.24971
237ED208  // 2.21846
22AB010C  // 2.16675
21B73529  // 2.10723
20DDA20D  // 2.05411
203A3015  // 2.01421
1FE4F6AE  // 1.9934
1FCE1F79  // 1.98782
1F8F15C9  // 1.97243
1EC7AC3A  // 1.92375
1DB3CB74  // 1.8564
1D0BECE8  // 1.81541
1D35EC10  // 1.82566
1DDC2458  // 1.86625
1E70A2CC  // 1.9025
1ECF1687  // 1.92556
1F31E618  // 1.94968
1FD72195  // 1.99002
20E925B7  // 2.05692
226B84C9  // 2.15125
2400E7EA  // 2.25022
25211F04  // 2.32059
25C268F8  // 2.35996
266C5878  // 2.40145
27772C57  // 2.4666
2897E8EB  // 2.53709
294DC43A  // 2.58149
29799E0A  // 2.59219
29723D80  // 2.59039
29A3C256  // 2.60248
2A21802F  // 2.63318
2A963A9A  // 2.66168
2AA1A4E9  // 2.66446
2A38B995  // 2.63885
29B378EE  // 2.60632

