FE6D1246  // -0.0983712
FE848750  // -0.0926444
FEB4546E  // -0.0809742
FECCE1B9  // -0.07498
FEBB1FE9  // -0.0793153
FE9FA6B4  // -0.0860227
FEA0F8EE  // -0.0857001
FEBFC3C4  // -0.0781824
FEDE847B  // -0.0706744
FEEB135A  // -0.0676085
FEF13EDF  // -0.0661022
FEFF1B41  // -0.0627181
FF105927  // -0.0585087
FF22F305  // -0.0539675
FF3D90C3  // -0.0474694
FF50BC66  // -0.0427891
FF3D5B1A  // -0.0475205
FF092E83  // -0.0602584
FEDD8B64  // -0.070912
FEC8DBF2  // -0.0759621
FEB39A6A  // -0.0811516
FE950E12  // -0.0886096
FE7EB942  // -0.0940616
FE749F52  // -0.0965277
FE6A13B0  // -0.0991023
FE62A51E  // -0.100917
FE6C5924  // -0.0985478
FE7C3D1C  // -0.0946683
FE75BDAC  // -0.0962547
FE589F33  // -0.103364
FE486C2C  // -0.107319
FE59E359  // -0.103055
FE72DC8E  // -0.0969576
FE70B9A6  // -0.0974792
FE57A43D  // -0.103603
FE429C56  // -0.108738
FE3CC226  // -0.110166
FE450037  // -0.108154
FE5B84B2  // -0.102657
FE715EC5  // -0.0973217

28E9A250  // 2.55704
28B8B438  // 2.54509
2843986D  // 2.5165
280AB3AF  // 2.50261
28672E57  // 2.52519
28FE996F  // 2.56216
29199057  // 2.56874
28A922AC  // 2.54129
284C1248  // 2.51857
285B0D1A  // 2.52223
28AE10B3  // 2.5425
2921F684  // 2.57079
2990322C  // 2.5977
2992E401  // 2.59836
29198A70  // 2.56874
28CF4193  // 2.5506
29388269  // 2.5763
29F50A94  // 2.62232
2A701150  // 2.65236
2A9F69B3  // 2.66392
2ABF9B00  // 2.67178
2B15E0A3  // 2.69284
2BF72D8A  // 2.74785
2D47E664  // 2.83005
2E553133  // 2.8958
2EDA805A  // 2.92835
2F711519  // 2.96511
307718FD  // 3.02908
316D7C3D  // 3.08923
31AC5A71  // 3.10458
30F6F441  // 3.06029
2FAC76FF  // 2.97961
2F023F2D  // 2.93805
301AB3ED  // 3.00652
323C5CC5  // 3.13974
332B28D0  // 3.19804
31D5A295  // 3.11466
2F62AEDE  // 2.96159
2D5314ED  // 2.83278
2C03305F  // 2.75078
2B3B819E  // 2.70203
2AD7A118  // 2.67764
2A899555  // 2.65859
29F758C9  // 2.62289
294D3378  // 2.58135
29101EF6  // 2.56644
295DDCDB  // 2.58542
29CDD7F9  // 2.61275
29FC6106  // 2.62412
29E9EC87  // 2.61961
29DB2E4D  // 2.61601
29FD4680  // 2.62433
2A404D1B  // 2.6407
2A850B99  // 2.65748
2A9338CF  // 2.66094
29E91DEF  // 2.61941
288CCF23  // 2.53438
286B6760  // 2.52622
2C88C11B  // 2.78339
35797E19  // 3.34216
3F27A310  // 3.94718
43F6D4FE  // 4.24776
438F0364  // 4.22242
44D9141E  // 4.303
4D15B3EB  // 4.8178
556739CF  // 5.3377
500B376F  // 5.00274
39FEAFB1  // 3.62468
1FFE6D5C  // 1.99962
0F0EE61A  // 0.941137
07D50751  // 0.489509
0451D459  // 0.269978
01CC4647  // 0.112372
009DDC9A  // 0.0385405
00503C82  // 0.019589
005345C4  // 0.0203302
01F6283E  // 0.122597
076AF149  // 0.463609
112164DE  // 1.07065
1C3E6DF5  // 1.76524
2468C09A  // 2.27557
27EC98C3  // 2.49526
28E8AFCB  // 2.55681
29C94CED  // 2.61165
2A9CD125  // 2.66329
2A8A6608  // 2.65879
29B76FE3  // 2.60728
28E28A38  // 2.55531
2884E835  // 2.53245
28A6EB77  // 2.54075
28C4788B  // 2.54797
281AA857  // 2.50651
269B48B4  // 2.41291
2529714E  // 2.32262
248CA6A8  // 2.28434
248B64E1  // 2.28403
244E0875  // 2.26905
235F861B  // 2.21082
220709AC  // 2.12672
20B75B7C  // 2.04476
1F805FC9  // 1.96884
1E376A99  // 1.88853
1CCB5339  // 1.79964
1B2D60E7  // 1.69858
195B11DC  // 1.58473
17CE5A45  // 1.48788
17599665  // 1.45937
183A6914  // 1.51426
19D6D824  // 1.61495
1B9F2B72  // 1.72636
1D93CD2A  // 1.84858
1FC01425  // 1.98439
21E0563D  // 2.11727
23C23918  // 2.23492
256A2563  // 2.33841
26B6C16C  // 2.41962
276C1957  // 2.46389
27BEE082  // 2.4841
284F121D  // 2.5193
2956D7EC  // 2.5837
2A461DC9  // 2.64212
2A84D8D9  // 2.65743
2A4B955F  // 2.64345
2A546AD0  // 2.64561
2AEFF9C2  // 2.68359
2BD1E991  // 2.73875
2C891E90  // 2.78348
2CC24346  // 2.79743
2C60B287  // 2.77361

